customer_id,first_name,last_name,age,spending,salary
1,John,Doe,35,1200,75000
2,Jane,Smith,28,850,62000
3,Bob,Johnson,42,2100,89000
4,Alice,Williams,31,450,54000
5,Charlie,Brown,47,3200,112000
6,David,Miller,29,680,48000
7,Emma,Davis,38,1500,82000
8,Frank,Wilson,52,2800,135000
9,Grace,Moore,26,350,45000
10,Henry,Taylor,33,950,67000
11,Ivy,Anderson,45,1900,98000
12,Jack,Thomas,30,550,56000
13,Karen,Jackson,39,1700,91000
14,Leo,White,55,4000,165000
15,Mia,Harris,27,420,51000
16,Noah,Martin,34,1100,72000
17,Olivia,Thompson,29,780,58000
18,Peter,Garcia,41,2300,105000
19,Quinn,Martinez,36,1350,79000
20,Rachel,Robinson,48,2900,128000
21,Sam,Clark,32,890,63000
22,Tina,Rodriguez,44,1800,95000
23,Ulysses,Lewis,50,3500,145000
24,Violet,Lee,25,320,42000
25,William,Walker,38,1600,84000
26,Xena,Hall,33,1050,69000
27,Yvonne,Allen,46,2200,102000
28,Zachary,Young,31,750,55000
29,Abigail,Hernandez,40,1900,92000
30,Benjamin,King,53,3800,155000
31,Chloe,Wright,28,680,51000
32,Daniel,Lopez,37,1450,78000
33,Emily,Hill,43,2100,99000
34,Fred,Scott,49,3100,132000
35,Gabrielle,Green,30,820,59000
36,Harry,Adams,41,1750,88000
37,Isabella,Baker,34,1150,74000
38,Jacob,Gonzalez,56,4200,175000
39,Katherine,Nelson,27,560,47000
40,Liam,Carter,44,2400,108000
41,Madison,Mitchell,35,1300,76000
42,Nathan,Perez,39,1850,93000
43,Oliver,Roberts,51,3600,150000
44,Patricia,Turner,29,720,53000
45,Rebecca,Phillips,46,2600,115000
46,Samuel,Campbell,32,980,65000
47,Theresa,Parker,40,1950,96000
48,Victor,Evans,54,3900,158000
49,Whitney,Edwards,28,640,49000
50,Xavier,Collins,36,1400,77000
51,Yolanda,Stewart,47,2700,118000
52,Zane,Morris,33,1020,68000
53,Aaron,Rogers,42,2050,100000
54,Beatrice,Reed,38,1550,83000
55,Calvin,Cook,50,3400,142000
56,Diana,Morgan,30,780,57000
57,Ethan,Peterson,45,2500,110000
58,Fiona,Kelly,27,580,48000
59,Gavin,Bell,41,1850,94000
60,Hazel,Howard,53,3750,152000
61,Ian,Ross,34,1080,71000
62,Jessica,Sanchez,48,2850,125000
63,Kevin,Price,29,700,52000
64,Laura,Bennett,39,1650,87000
65,Mark,Wood,55,4100,168000
66,Natalie,Cole,32,920,61000
67,Orlando,Barnes,44,2300,106000
68,Paula,Powell,36,1250,75000
69,Randy,Butler,51,3550,148000
70,Sandra,Foster,27,590,49000
71,Theodore,Gray,43,2150,101000
72,Ursula,Sanders,31,840,60000
73,Vanessa,James,46,2550,112000
74,Walter,Reyes,37,1480,81000
75,Ximena,Brooks,49,3050,130000
76,Yusuf,Morales,30,760,56000
77,Zara,Simmons,42,1980,97000
78,Aidan,Price,54,3850,160000
79,Bianca,Flores,28,620,50000
80,Cameron,Long,40,1780,90000
81,Delilah,Cox,35,1180,73000
82,Eli,Russell,47,2680,116000
83,Faith,Kennedy,33,980,66000
84,Gabriel,Murray,52,3700,155000
85,Hannah,Ross,29,680,51000
86,Isaac,Diaz,43,2080,102000
87,Jade,Washington,38,1580,84000
88,Kyle,Butler,50,3350,140000
89,Leah,Bryant,31,860,61000
90,Miles,Gardner,44,2250,107000
91,Nadia,Hunter,36,1320,77000
92,Orion,Porter,55,4050,162000
93,Piper,Olson,27,550,47000
94,Quinton,Ross,41,1820,92000
95,Rose,Flores,48,2750,120000
96,Simon,Hayes,34,1120,72000
97,Trinity,Webb,39,1680,88000
98,Ulysses,Thompson,46,2450,109000
99,Valerie,Allen,32,940,64000
100,Winston,Murray,57,4300,178000
101,Alicia,Nelson,28,660,52000
102,Bradley,Cole,43,2150,105000
103,Catherine,Hill,37,1450,80000
104,Dylan,Scott,51,3500,146000
105,Erica,Gonzalez,30,790,58000
106,Felix,Walker,45,2350,108000
107,Gina,White,35,1270,75000
108,Hector,Brown,49,1350,128000
109,Irene,Green,34,990,67000
110,Jesse,Smith,40,1850,75000
